keyword,search_volume,competition,competition_level,cpc,monthly_searches
castelluccio lentils,320,HIGH,,0.43,"[{'year': 2025, 'month': 6, 'search_volume': 140}, {'year': 2025, 'month': 5, 'search_volume': 210}, {'year': 2025, 'month': 4, 'search_volume': 210}, {'year': 2025, 'month': 3, 'search_volume': 210}, {'year': 2025, 'month': 2, 'search_volume': 590}, {'year': 2025, 'month': 1, 'search_volume': 390}, {'year': 2024, 'month': 12, 'search_volume': 260}, {'year': 2024, 'month': 11, 'search_volume': 210}, {'year': 2024, 'month': 10, 'search_volume': 210}, {'year': 2024, 'month': 9, 'search_volume': 260}, {'year': 2024, 'month': 8, 'search_volume': 390}, {'year': 2024, 'month': 7, 'search_volume': 480}]"
tinned lentils,70,HIGH,,2.13,"[{'year': 2025, 'month': 6, 'search_volume': 90}, {'year': 2025, 'month': 5, 'search_volume': 40}, {'year': 2025, 'month': 4, 'search_volume': 40}, {'year': 2025, 'month': 3, 'search_volume': 90}, {'year': 2025, 'month': 2, 'search_volume': 70}, {'year': 2025, 'month': 1, 'search_volume': 140}, {'year': 2024, 'month': 12, 'search_volume': 50}, {'year': 2024, 'month': 11, 'search_volume': 110}, {'year': 2024, 'month': 10, 'search_volume': 70}, {'year': 2024, 'month': 9, 'search_volume': 50}, {'year': 2024, 'month': 8, 'search_volume': 40}, {'year': 2024, 'month': 7, 'search_volume': 40}]"
lentils beans,8100,HIGH,,0.27,"[{'year': 2025, 'month': 6, 'search_volume': 8100}, {'year': 2025, 'month': 5, 'search_volume': 8100}, {'year': 2025, 'month': 4, 'search_volume': 8100}, {'year': 2025, 'month': 3, 'search_volume': 8100}, {'year': 2025, 'month': 2, 'search_volume': 8100}, {'year': 2025, 'month': 1, 'search_volume': 9900}, {'year': 2024, 'month': 12, 'search_volume': 9900}, {'year': 2024, 'month': 11, 'search_volume': 6600}, {'year': 2024, 'month': 10, 'search_volume': 8100}, {'year': 2024, 'month': 9, 'search_volume': 6600}, {'year': 2024, 'month': 8, 'search_volume': 6600}, {'year': 2024, 'month': 7, 'search_volume': 6600}]"
lentil seeds for growing,90,HIGH,,1.11,"[{'year': 2025, 'month': 6, 'search_volume': 70}, {'year': 2025, 'month': 5, 'search_volume': 140}, {'year': 2025, 'month': 4, 'search_volume': 140}, {'year': 2025, 'month': 3, 'search_volume': 170}, {'year': 2025, 'month': 2, 'search_volume': 210}, {'year': 2025, 'month': 1, 'search_volume': 170}, {'year': 2024, 'month': 12, 'search_volume': 50}, {'year': 2024, 'month': 11, 'search_volume': 50}, {'year': 2024, 'month': 10, 'search_volume': 30}, {'year': 2024, 'month': 9, 'search_volume': 50}, {'year': 2024, 'month': 8, 'search_volume': 30}, {'year': 2024, 'month': 7, 'search_volume': 50}]"
white lentils,720,MEDIUM,,0.27,"[{'year': 2025, 'month': 6, 'search_volume': 480}, {'year': 2025, 'month': 5, 'search_volume': 390}, {'year': 2025, 'month': 4, 'search_volume': 480}, {'year': 2025, 'month': 3, 'search_volume': 480}, {'year': 2025, 'month': 2, 'search_volume': 390}, {'year': 2025, 'month': 1, 'search_volume': 590}, {'year': 2024, 'month': 12, 'search_volume': 390}, {'year': 2024, 'month': 11, 'search_volume': 390}, {'year': 2024, 'month': 10, 'search_volume': 480}, {'year': 2024, 'month': 9, 'search_volume': 2900}, {'year': 2024, 'month': 8, 'search_volume': 720}, {'year': 2024, 'month': 7, 'search_volume': 590}]"
split lentils,480,HIGH,,0.22,"[{'year': 2025, 'month': 6, 'search_volume': 390}, {'year': 2025, 'month': 5, 'search_volume': 390}, {'year': 2025, 'month': 4, 'search_volume': 390}, {'year': 2025, 'month': 3, 'search_volume': 480}, {'year': 2025, 'month': 2, 'search_volume': 390}, {'year': 2025, 'month': 1, 'search_volume': 480}, {'year': 2024, 'month': 12, 'search_volume': 720}, {'year': 2024, 'month': 11, 'search_volume': 1600}, {'year': 2024, 'month': 10, 'search_volume': 390}, {'year': 2024, 'month': 9, 'search_volume': 320}, {'year': 2024, 'month': 8, 'search_volume': 320}, {'year': 2024, 'month': 7, 'search_volume': 390}]"
black caviar lentils,260,HIGH,,0.48,"[{'year': 2025, 'month': 6, 'search_volume': 260}, {'year': 2025, 'month': 5, 'search_volume': 260}, {'year': 2025, 'month': 4, 'search_volume': 260}, {'year': 2025, 'month': 3, 'search_volume': 260}, {'year': 2025, 'month': 2, 'search_volume': 210}, {'year': 2025, 'month': 1, 'search_volume': 320}, {'year': 2024, 'month': 12, 'search_volume': 390}, {'year': 2024, 'month': 11, 'search_volume': 210}, {'year': 2024, 'month': 10, 'search_volume': 170}, {'year': 2024, 'month': 9, 'search_volume': 170}, {'year': 2024, 'month': 8, 'search_volume': 140}, {'year': 2024, 'month': 7, 'search_volume': 140}]"
lentils trader joes,110,LOW,,0.08,"[{'year': 2025, 'month': 6, 'search_volume': 260}, {'year': 2025, 'month': 5, 'search_volume': 50}, {'year': 2025, 'month': 4, 'search_volume': 260}, {'year': 2025, 'month': 3, 'search_volume': 90}, {'year': 2025, 'month': 2, 'search_volume': 70}, {'year': 2025, 'month': 1, 'search_volume': 170}, {'year': 2024, 'month': 12, 'search_volume': 70}, {'year': 2024, 'month': 11, 'search_volume': 70}, {'year': 2024, 'month': 10, 'search_volume': 50}, {'year': 2024, 'month': 9, 'search_volume': 50}, {'year': 2024, 'month': 8, 'search_volume': 50}, {'year': 2024, 'month': 7, 'search_volume': 70}]"
precooked lentils,590,HIGH,,0.62,"[{'year': 2025, 'month': 6, 'search_volume': 480}, {'year': 2025, 'month': 5, 'search_volume': 260}, {'year': 2025, 'month': 4, 'search_volume': 320}, {'year': 2025, 'month': 3, 'search_volume': 390}, {'year': 2025, 'month': 2, 'search_volume': 320}, {'year': 2025, 'month': 1, 'search_volume': 1300}, {'year': 2024, 'month': 12, 'search_volume': 390}, {'year': 2024, 'month': 11, 'search_volume': 1600}, {'year': 2024, 'month': 10, 'search_volume': 590}, {'year': 2024, 'month': 9, 'search_volume': 320}, {'year': 2024, 'month': 8, 'search_volume': 320}, {'year': 2024, 'month': 7, 'search_volume': 260}]"
lentil peas,590,HIGH,,0.34,"[{'year': 2025, 'month': 6, 'search_volume': 480}, {'year': 2025, 'month': 5, 'search_volume': 590}, {'year': 2025, 'month': 4, 'search_volume': 590}, {'year': 2025, 'month': 3, 'search_volume': 590}, {'year': 2025, 'month': 2, 'search_volume': 480}, {'year': 2025, 'month': 1, 'search_volume': 720}, {'year': 2024, 'month': 12, 'search_volume': 590}, {'year': 2024, 'month': 11, 'search_volume': 720}, {'year': 2024, 'month': 10, 'search_volume': 720}, {'year': 2024, 'month': 9, 'search_volume': 480}, {'year': 2024, 'month': 8, 'search_volume': 480}, {'year': 2024, 'month': 7, 'search_volume': 480}]"
